'2023-08-12 19:55:18,293 - INFO - Processing file - Model 10000LtsTankassy.stp - [1/1]:
'2023-08-12 19:55:24,278 - INFO - [PythonOCC] Topology Exploration to Generate Features by Dimension
'2023-08-12 19:55:24,278 - INFO - [PythonOCC] Mesh Generation...
'2023-08-12 19:55:24,747 - INFO - [PythonOCC] Using all the Shapes
'2023-08-12 19:55:24,776 - INFO - [PythonOCC] Mapping Vertices...
'2023-08-12 19:55:24,778 - INFO - [PythonOCC] Mapping Edges...
'2023-08-12 19:55:24,856 - INFO - [PythonOCC] Mapping Faces...
'2023-08-12 19:55:24,875 - INFO - [PythonOCC] Generating Mesh Data...
'2023-08-12 19:55:26,940 - INFO - [PythonOCC] Done.
'2023-08-12 19:55:26,940 - INFO - [Normalization]
'2023-08-12 19:55:28,193 - INFO - [Normalization] Done.
'2023-08-12 19:55:28,194 - INFO - [Generating statistics]
'2023-08-12 19:55:28,194 - INFO - Generating for curves: 
'2023-08-12 19:55:28,197 - INFO - Generating for surfaces: 
'2023-08-12 19:55:28,203 - INFO - [Statistics] Done.
'2023-08-12 19:55:28,203 - INFO - [Writing meshes]
'2023-08-12 19:55:28,227 - INFO - [Writing meshes] Done.
'2023-08-12 19:55:28,227 - INFO - [Writing Features]
'2023-08-12 19:55:28,308 - INFO - [Writing Features] Done.
'2023-08-12 19:55:28,308 - INFO - [Writing Statistics]
'2023-08-12 19:55:28,308 - INFO - [Writing Statistics] Done.
'2023-08-12 19:55:28,308 - INFO - [Generator] Process done.
